Id,Time[ns],1:UART: RX/TX
409,7646079000.00,E
410,7646089840.00,:
411,7646100680.00,[20]
412,7646111560.00,0
413,7646122400.00,,
414,7646133240.00,"
415,7646144080.00,T
416,7646154960.00,C
417,7646165800.00,P
418,7646176640.00,"
419,7646187480.00,,
420,7646198320.00,"
421,7646209200.00,a
422,7646220040.00,p
423,7646230880.00,i
424,7646241720.00,.
425,7646252560.00,t
426,7646263440.00,e
427,7646274280.00,n
428,7646285120.00,c
429,7646295960.00,l
430,7646306800.00,a
431,7646317640.00,s
432,7646328520.00,s
433,7646339360.00,.
434,7646350200.00,n
435,7646361040.00,e
436,7646371920.00,t
437,7646382760.00,"
438,7646393600.00,,
439,7646404440.00,4
440,7646415280.00,4
441,7646426160.00,3
442,7646437000.00,,
443,7646447840.00,"
444,7646458680.00,C
445,7646469520.00,O
446,7646480400.00,N
447,7646491240.00,N
448,7646502080.00,E
449,7646512920.00,C
450,7646523760.00,T
451,7646534600.00,E
452,7646545480.00,D
453,7646556320.00,"
454,7646567160.00,[0D]
455,7646578000.00,[0A]
456,7646588880.00,[0D]
457,7646599720.00,[0A]
458,7646610560.00,O
459,7646621400.00,K
460,7646632240.00,[0D]
461,7646643120.00,[0A]
462,7659935200.00,[0D]
463,7659946040.00,[0A]
464,7659956880.00,O
465,7659967720.00,K
466,7659978560.00,[0D]
467,7659989400.00,[0A]
468,7662532200.00,[0D]
469,7662543040.00,[0A]
470,7662553880.00,+
471,7662564760.00,M
472,7662575600.00,I
473,7662586440.00,P
474,7662597280.00,C
475,7662608120.00,L
476,7662618960.00,O
477,7662629840.00,S
478,7662640680.00,E
479,7662651520.00,:
480,7662662360.00,[20]
481,7662673240.00,0
482,7662684080.00,[0D]
483,7662694920.00,[0A]
484,7664145280.00,[0D]
485,7664156160.00,[0A]
486,7664167000.00,O
487,7664177840.00,K
488,7664188680.00,[0D]
489,7664199520.00,[0A]
490,8276003920.00,[0D]
491,8276014760.00,[0A]
492,8276025600.00,+
493,8276036440.00,M
494,8276047320.00,I
495,8276058160.00,P
496,8276069000.00,O
497,8276079840.00,P
498,8276090680.00,E
499,8276101520.00,N
500,8276112400.00,:
501,8276123240.00,[20]
502,8276134080.00,0
503,8276144920.00,,
504,8276155800.00,0
505,8276166640.00,[0D]
506,8276177480.00,[0A]
507,8493021760.00,[0D]
508,8493032640.00,[0A]
509,8493043480.00,+
510,8493054320.00,M
511,8493065160.00,I
512,8493076000.00,P
513,8493086880.00,S
514,8493097720.00,E
515,8493108560.00,N
516,8493119400.00,D
517,8493130240.00,:
518,8493141120.00,[20]
519,8493151960.00,0
520,8493162800.00,,
521,8493173640.00,5
522,8493184480.00,2
523,8493195320.00,3
524,8493206200.00,[0D]
525,8493217040.00,[0A]
526,8493227880.00,[0D]
527,8493238720.00,[0A]
528,8493249600.00,O
529,8493260440.00,K
530,8493271280.00,[0D]
531,8493282120.00,[0A]
532,8598248640.00,[0D]
533,8598259480.00,[0A]
534,8598270320.00,+
535,8598281200.00,M
536,8598292040.00,I
537,8598302880.00,P
538,8598313720.00,U
539,8598324560.00,R
540,8598335440.00,C
541,8598346280.00,:
542,8598357120.00,[20]
543,8598367960.00,"
544,8598378800.00,r
545,8598389680.00,t
546,8598400520.00,c
547,8598411360.00,p
548,8598422200.00,"
549,8598433040.00,,
550,8598443880.00,0
551,8598454760.00,,
552,8598465600.00,6
553,8598476440.00,7
554,8598487280.00,6
555,8598498160.00,,
556,8598509000.00,4
557,8598519840.00,8
558,8598530680.00,5
559,8598541520.00,4
560,8598552400.00,5
561,8598563240.00,4
562,8598574080.00,5
563,8598584920.00,0
564,8598595760.00,2
565,8598606640.00,F
566,8598617480.00,3
567,8598628320.00,1
568,8598639160.00,2
569,8598650000.00,E
570,8598660840.00,3
571,8598671720.00,1
572,8598682560.00,2
573,8598693400.00,0
574,8598704240.00,3
575,8598715120.00,2
576,8598725960.00,3
577,8598736800.00,0
578,8598747640.00,3
579,8598758480.00,0
580,8598769360.00,2
581,8598780200.00,0
582,8598791040.00,4
583,8598801880.00,F
584,8598812720.00,4
585,8598823600.00,B
586,8598834440.00,0
587,8598845280.00,D
588,8598856120.00,0
589,8598866960.00,A
590,8598877840.00,4
591,8598888680.00,4
592,8598899520.00,6
593,8598910360.00,1
594,8598921200.00,7
595,8598932080.00,4
596,8598942920.00,6
597,8598953760.00,5
598,8598964600.00,3
599,8598975440.00,A
600,8598986320.00,2
601,8598997160.00,0
602,8599008000.00,5
603,8599018840.00,3
604,8599029680.00,6
605,8599040560.00,1
606,8599051400.00,7
607,8599062240.00,4
608,8599073080.00,2
609,8599083920.00,C
610,8599094800.00,2
611,8599105640.00,0
612,8599116480.00,3
613,8599127320.00,1
614,8599138160.00,3
615,8599149040.00,8
616,8599159880.00,2
617,8599170720.00,0
618,8599181560.00,4
619,8599192400.00,1
620,8599203280.00,7
621,8599214120.00,0
622,8599224960.00,7
623,8599235800.00,2
624,8599246640.00,2
625,8599257520.00,0
626,8599268360.00,3
